function	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
1.14.19.1-RXN	8843.790000000003	8838.05	9386.1	10314.96	9817.18	9479.01	8434.560000000001	7314.48	8346.62	8200.65	8842.609999999999	7992.69	9726.64	10198.859999999997	8946.400000000003	9554.909999999998	9457.229999999998	9846.320000000003
1.14.19.3-RXN	2717.43	3560.7500000000005	3606.06	2593.75	2697.7	2581.140000000001	2925.6800000000007	3766.02	3888.1	3290.2399999999993	3191.9499999999994	2659.4700000000007	3681.64	3682.08	3498.1799999999994	3616.24	3334.15	3226.9
1.15.1.2-RXN	8.0	60.0	11.0	6.0	5.0	2.0	14.0	6.0	16.0	3.0	3.0	10.0	7.0	3.0	12.0	5.0	5.0	29.0
1.17.1.1-RXN	4343.65	3191.17	4384.1	4682.419999999999	6652.93	4806.870000000001	3168.4000000000005	2772.0099999999993	3489.080000000001	3987.049999999999	3680.87	3126.01	3994.66	5006.36	3757.37	3944.42	4126.42	3862.780000000001
1.17.4.2-RXN	345.47	321.95	396.69	614.37	440.95	374.75	368.59000000000015	389.55	449.47000000000014	359.0499999999999	369.49	284.2399999999999	347.59000000000015	293.81	321.61999999999995	260.34	380.39999999999986	396.49
1.17.99.1-RXN	894.9000000000002	751.91	1011.31	960.46	1240.77	851.06	388.84000000000015	338.55000000000007	587.0	615.21	616.86	404.0100000000001	695.78	737.24	539.1300000000001	538.24	681.81	601.54
1.18.1.2-RXN	9196.9	10186.0	10764.2	9949.91	11291.999999999995	10208.44	8852.49	8624.31	8162.689999999999	9027.03	9704.87	8519.46	9745.119999999997	9707.919999999996	9424.95	10176.78	10111.37	9655.72
1.2.1.2-RXN	20255.680000000008	19233.17	22163.91	22990.890000000007	25975.21000000001	22584.000000000004	17908.86	16020.799999999996	17244.560000000005	17591.219999999998	19173.52	17300.819999999996	19817.92000000001	22018.070000000003	19014.400000000005	20493.100000000006	20131.480000000003	19918.05
1.2.1.27-RXN	11317.86	12334.410000000002	12554.38	12603.69	13921.73	12650.4	11416.670000000002	10463.879999999996	10433.880000000003	11244.02	11791.109999999995	10994.659999999998	11747.93	12103.21	11565.250000000002	11666.84	11857.929999999997	11773.71
1.2.1.32-RXN	1370.5399999999995	1697.0899999999995	1284.27	1586.4199999999996	1258.4000000000005	1389.1	1360.7399999999998	1579.9199999999996	1515.2499999999998	1380.88	1533.9499999999994	1276.0999999999995	1843.54	1899.73	1524.6699999999996	1776.16	1708.94	1528.74
1.2.1.45-RXN	1326.08	934.33	1595.17	1517.0	2152.33	1397.0	771.17	688.33	1120.17	1133.92	1093.67	783.17	1088.17	1288.83	978.58	1111.58	1260.0	1148.25
1.2.1.65-RXN	9.0	1.0	27.0	15.0	21.0	5.0	4.0	23.0	2.0	8.0	16.0	7.0	10.0	5.0	4.0	5.0	21.0	16.0
1.2.1.66-RXN	2514.03	4199.27	2922.22	2880.640000000001	1840.62	2406.21	2568.4300000000007	3194.25	3297.51	2725.3100000000004	3085.68	2460.9	3883.65	3217.09	3328.3299999999995	3623.56	3418.44	3250.120000000001
1.2.1.9-RXN	507.19	637.0	636.6500000000002	471.06	421.99	419.33	757.5400000000002	675.1900000000003	857.83	815.48	545.8100000000002	741.7000000000003	554.5	539.7	543.9999999999999	551.99	455.7000000000001	520.51
1.2.3.3-RXN	108.0	116.0	119.0	77.0	43.0	125.0	436.0	192.0	259.0	254.0	124.0	463.0	54.0	31.0	69.0	46.0	43.0	78.0
1.2.4.4-RXN	6359.25	6380.08	7481.599999999998	8275.970000000001	8091.969999999998	8097.77	6747.2599999999975	6568.919999999999	6728.400000000002	7073.790000000001	6889.9	7304.309999999998	6576.2	6751.7	6245.8600000000015	6552.989999999998	6997.24	6536.19
1.2.7.4-RXN	12.0	14.0	16.0	7.0	5.0	5.0	16.0	9.0	9.0	5.0	5.0	13.0	8.0	8.0	16.0	11.0	9.0	20.0
1.2.7.5-RXN	230.00000000000003	311.48	183.82	222.33	188.83	212.0	265.17	296.33	206.82	214.17	245.16	251.16000000000003	379.82	162.33	251.15000000000003	217.83	224.99	266.99
1.2.7.7-RXN	14.0	28.0	64.0	106.0	118.0	26.0	60.0	42.0	32.0	50.0	48.0	34.0	78.0	130.0	58.0	78.0	62.0	38.0
1.2.7.8-RXN	10158.95	8541.01	10283.090000000002	11296.5	13794.98	11561.47	7973.44	6741.81	8188.89	8740.44	8936.84	7759.269999999998	9697.95	11707.03	8709.199999999999	9907.31	10138.76	9212.14
1.20.1.1-RXN	20.0	12.5	22.0	41.5	20.0	36.0	6.0	3.5	8.0	7.0	8.0	8.5	9.0	11.5	7.5	14.0	12.5	10.0
1.20.98.1-RXN	14.0	14.0	18.0	17.0	22.0	12.0	18.0	18.0	21.0	29.0	39.0	11.0	14.0	21.0	16.0	43.0	15.0	24.0
1.21.4.1-RXN	58.0	27.0	47.0	50.0	23.0	24.0	100.0	37.0	45.0	57.0	57.0	115.0	30.0	31.0	33.0	54.0	41.0	49.0
1.21.4.4-RXN	0.0	0.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	7.0	0.0	2.0	0.0	1.0	1.0	2.0
1.3.1.2-RXN	3.0	0.0	1.0	0.0	0.0	0.0	4.0	2.0	0.0	2.0	1.0	4.0	0.0	1.0	0.0	1.0	2.0	1.0
