"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_1166",4,1,0,4
"ASV_4085",4,1,0,4
"ASV_548",1,1,0,1
"ASV_472",5,1,0,5
"ASV_1432",5,1,0,5
"ASV_1572",5,1,0,5
"ASV_1821",5,1,0,5
"ASV_1242",5,1,0,5
"ASV_394",4,1,0,4
"ASV_1245",4,1,0,4
"ASV_2757",4,1,0,4
"ASV_1141",4,1,0,4
"ASV_441",1,1,0,1
"ASV_2862",1,1,0,1
"ASV_1331",1,1,0,1
"ASV_2738",1,1,0,1
"ASV_12",2,1,0,2
"ASV_1810",2,1,0,2
"ASV_522",4,1,0,4
"ASV_976",4,1,0,4
"ASV_2293",4,1,0,4
"ASV_2216",4,1,0,4
"ASV_266",4,1,0,4
"ASV_654",4,1,0,4
"ASV_1101",4,1,0,4
"ASV_733",4,1,0,4
"ASV_1396",3,1,0,3
"ASV_2272",3,1,0,3
"ASV_983",3,1,0,3
"ASV_1176",1,1,0,1
"ASV_285",1,1,0,1
"ASV_2189",1,1,0,1
"ASV_3702",1,1,0,1
"ASV_1715",2,1,0,2
"ASV_686",2,1,0,2
"ASV_585",1,1,0,1
"ASV_351",1,1,0,1
"ASV_284",1,1,0,1
"ASV_588",1,1,0,1
"ASV_1923",2,1,0,2
"ASV_3802",2,1,0,2
"ASV_2624",1,1,0,1
"ASV_2691",2,1,0,2
"ASV_2099",2,1,0,2
"ASV_905",1,1,0,1
"ASV_702",3,1,0,3
"ASV_1254",3,1,0,3
"ASV_642",3,1,0,3
"ASV_4424",1,1,0,1
"ASV_778",1,1,0,1
"ASV_1177",2,1,0,2
"ASV_4022",2,1,0,2
"ASV_1773",2,1,0,2
"ASV_712",2,1,0,2
"ASV_890",1,1,0,1
"ASV_796",2,1,0,2
"ASV_3107",2,1,0,2
"ASV_454",1,1,0,1
"ASV_460",1,1,0,1
"ASV_1500",1,1,0,1
"ASV_475",1,1,0,1
"ASV_5071",1,1,0,1
"ASV_1867",1,1,0,1
"ASV_2092",4,1,0,4
"ASV_857",4,1,0,4
"ASV_1031",4,1,0,4
"ASV_847",4,1,0,4
"ASV_700",2,1,0,2
"ASV_3448",2,1,0,2
"ASV_729",2,1,0,2
"ASV_195",2,1,0,2
"ASV_6724",3,1,0,3
"ASV_128",3,1,0,3
"ASV_835",3,1,0,3
"ASV_776",2,1,0,2
"ASV_2377",2,1,0,2
"ASV_329",2,1,0,2
"ASV_1382",2,1,0,2
"ASV_1129",2,1,0,2
"ASV_1505",2,1,0,2
"ASV_1094",1,1,0,1
"ASV_2724",1,1,0,1
"ASV_395",7,1,0,7
"ASV_852",7,1,0,7
"ASV_2033",7,1,0,7
"ASV_807",7,1,0,7
"ASV_876",7,1,0,7
"ASV_623",7,1,0,7
"ASV_6921",7,1,0,7
"ASV_293",2,1,0,2
"ASV_737",2,1,0,2
"ASV_646",1,1,0,1
"ASV_1084",1,1,0,1
"ASV_2102",1,1,0,1
"ASV_2689",1,1,0,1
"ASV_368",1,1,0,1
"ASV_2666",1,1,0,1
"ASV_216",2,1,0,2
"ASV_1210",2,1,0,2
"ASV_1282",1,1,0,1
"ASV_938",2,1,0,2
"ASV_1659",2,1,0,2
"ASV_5164",3,1,0,3
"ASV_1301",3,1,0,3
"ASV_1118",3,1,0,3
"ASV_446",2,1,0,2
"ASV_1262",2,1,0,2
"ASV_436",1,1,0,1
"ASV_115",1,1,0,1
"ASV_2030",2,1,0,2
"ASV_3327",2,1,0,2
"ASV_1443",1,1,0,1
"ASV_2477",1,1,0,1
"ASV_1247",3,1,0,3
"ASV_1930",3,1,0,3
"ASV_1758",3,1,0,3
"ASV_563",1,1,0,1
"ASV_1040",1,1,0,1
"ASV_2681",1,1,0,1
"ASV_1",1,1,0,1
"ASV_5",2,1,0,2
"ASV_11",3,1,0,3
"ASV_7",2,1,0,2
"ASV_21",6,1,0,6
"ASV_47",6,1,0,6
"ASV_39",3,1,0,3
"ASV_196",5,1,0,5
"ASV_30",5,1,0,5
"ASV_442",3,1,0,3
"ASV_40",14,1,0,14
"ASV_33",3,1,0,3
"ASV_213",3,1,0,3
"ASV_35",12,1,0,12
"ASV_22",2,1,0,2
"ASV_152",5,1,0,5
"ASV_103",7,1,0,7
"ASV_50",2,1,0,2
"ASV_16",1,1,0,1
"ASV_62",3,1,0,3
"ASV_13",2,1,0,2
"ASV_52",8,1,0,8
"ASV_88",4,1,0,4
"ASV_18",2,1,0,2
"ASV_44",4,1,0,4
"ASV_29",16,1,0,16
"ASV_25",3,1,0,3
"ASV_75",9,1,0,9
"ASV_15",8,1,0,8
"ASV_840",2,1,0,2
"ASV_82",3,1,0,3
"ASV_36",24,1,0,24
"ASV_38",2,1,0,2
"ASV_757",3,1,0,3
"ASV_9",3,1,0,3
"ASV_55",4,1,0,4
"ASV_10",2,1,0,2
"ASV_191",1,1,0,1
"ASV_46",11,1,0,11
"ASV_387",1,1,0,1
"ASV_64",3,1,0,3
"ASV_20",7,1,0,7
"ASV_31",3,1,0,3
"ASV_24",5,1,0,5
"ASV_92",4,1,0,4
"ASV_1339",1,1,0,1
"ASV_66",19,1,0,19
"ASV_244",3,1,0,3
"ASV_70",4,1,0,4
"ASV_60",10,1,0,10
"ASV_348",13,1,0,13
"ASV_179",1,1,0,1
"ASV_96",19,1,0,19
"ASV_381",4,1,0,4
"ASV_19",6,1,0,6
"ASV_127",2,1,0,2
"ASV_136",1,1,0,1
"ASV_116",3,1,0,3
"ASV_206",1,1,0,1
"ASV_122",8,1,0,8
"ASV_370",6,1,0,6
"ASV_32",3,1,0,3
"ASV_68",1,1,0,1
"ASV_114",2,1,0,2
"ASV_69",5,1,0,5
"ASV_1032",1,1,0,1
"ASV_57",1,1,0,1
"ASV_86",1,1,0,1
"ASV_316",3,1,0,3
"ASV_165",2,1,0,2
"ASV_189",4,1,0,4
"ASV_456",2,1,0,2
"ASV_141",2,1,0,2
"ASV_272",2,1,0,2
"ASV_113",9,1,0,9
"ASV_227",2,1,0,2
"ASV_219",5,1,0,5
