"ID","filed","Kingdom","Phylum","Class","Order","Family","Genus","group","Label"
"Gp15","bac","Bacteria","Acidobacteria","Acidobacteria_Gp15","Unassigned","Unassigned","Gp15","bac","Gp15"
"Gp16","bac","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Gp16","bac","Gp16"
"Gp17","bac","Bacteria","Acidobacteria","Acidobacteria_Gp17","Unassigned","Unassigned","Gp17","bac","Gp17"
"Gp2","bac","Bacteria","Acidobacteria","Acidobacteria_Gp2","Unassigned","Unassigned","Gp2","bac","Gp2"
"Gp3","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","bac","Gp3"
"Gp4","bac","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Gp4","bac","Gp4"
"Gp5","bac","Bacteria","Acidobacteria","Acidobacteria_Gp5","Unassigned","Unassigned","Gp5","bac","Gp5"
"Gp6","bac","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","bac","Gp6"
"Gp7","bac","Bacteria","Acidobacteria","Acidobacteria_Gp7","Unassigned","Unassigned","Gp7","bac","Gp7"
"Haliangium","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium","bac","Haliangium"
"Herbaspirillum","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum","bac","Herbaspirillum"
"Herminiimonas","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herminiimonas","bac","Herminiimonas"
"Hormotilopsis","fun","Viridiplantae","Chlorophyta","Chlorophyceae","Chaetopeltidales","Chaetopeltidaceae","Hormotilopsis","fun","Hormotilopsis"
"Humicola","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","fun","Humicola"
