ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_104	-1.92	11.262	0.0606502237385142	0.221825828509547	NotSig	0.06	0.233	0.105	0.152	0.037	0.068	0	0	0.465	0.062	0.249	0.247	0	0.376
ASV_156	0.869	10.061	0.0608668431885952	0.221825828509547	NotSig	0.07	0.039	0.114	0.096	0.045	0.053	0.036	0.08	0.039	0.031	0.083	0.016	0.024	0.04
ASV_8	-0.586	14.523	0.0667351630059024	0.237925363760174	NotSig	1.205	1.851	1.616	1.542	1.599	1.12	0.558	0.796	1.789	2.095	1.643	2.792	1.325	1.464
ASV_30	-0.565	13.015	0.072423058305727	0.246401005769378	NotSig	0.423	0.64	0.638	0.583	0.364	0.31	0.196	0.446	0.544	0.508	0.788	0.742	0.431	0.824
ASV_75	0.607	11.875	0.0734614573946766	0.246401005769378	NotSig	0.271	0.184	0.122	0.216	0.364	0.242	0.406	0.279	0.213	0.169	0.199	0.191	0.149	0.184
ASV_94	-1.184	11.656	0.0736198126993875	0.246401005769378	NotSig	0.116	0.275	0.017	0.04	0.178	0.174	0.174	0.111	0.134	0.131	0.058	0.152	0.518	0.656
ASV_48	-0.509	12.342	0.0796874218773545	0.261374743757723	NotSig	0.267	0.385	0.332	0.296	0.193	0.356	0.123	0.302	0.307	0.408	0.34	0.415	0.369	0.472
ASV_71	0.885	11.986	0.0833320966993941	0.267969879582365	NotSig	0.326	0.178	0.253	0.12	0.126	0.235	0.217	1.003	0.15	0.146	0.257	0.152	0.133	0.232
ASV_16	-0.643	13.855	0.0866200173789498	0.273186208656688	NotSig	0.731	1.166	0.716	0.655	1.272	0.772	0.391	0.581	1.253	0.886	0.672	0.909	2.25	1.024
ASV_125	-0.655	11.17	0.0911399423424949	0.281673319695988	NotSig	0.103	0.166	0.122	0.08	0.201	0.091	0.051	0.072	0.134	0.246	0.124	0.16	0.157	0.176
ASV_21	-0.591	13.219	0.0927460930706302	0.281673319695988	NotSig	0.481	0.735	0.402	0.951	0.543	0.333	0.275	0.382	0.591	0.847	0.531	0.75	1.106	0.584
ASV_47	0.378	12.674	0.104280817829512	0.306501876777845	NotSig	0.46	0.363	0.41	0.376	0.461	0.454	0.485	0.573	0.299	0.308	0.373	0.415	0.353	0.432
ASV_130	-0.562	11.014	0.105482359898092	0.306501876777845	NotSig	0.096	0.145	0.114	0.144	0.104	0.098	0.051	0.064	0.11	0.139	0.232	0.104	0.125	0.16
ASV_88	1.529	11.779	0.106528091319129	0.306501876777845	NotSig	0.324	0.113	0.288	0.392	0.052	0.045	0.014	1.154	0.173	0.031	0.307	0.136	0.008	0.024
ASV_108	0.524	11.496	0.115913027229329	0.327754076993276	NotSig	0.203	0.142	0.192	0.168	0.149	0.22	0.21	0.279	0.142	0.154	0.091	0.096	0.243	0.128
ASV_90	0.744	11.64	0.121062097796601	0.332881149162178	NotSig	0.242	0.146	0.122	0.28	0.126	0.257	0.167	0.501	0.102	0.085	0.191	0.128	0.314	0.056
ASV_128	0.483	11.248	0.121785786278846	0.332881149162178	NotSig	0.167	0.121	0.227	0.144	0.097	0.212	0.13	0.191	0.118	0.123	0.141	0.104	0.149	0.088
ASV_266	0.711	10.533	0.126539955664493	0.340205782442244	NotSig	0.101	0.063	0.166	0.128	0.067	0.023	0.094	0.127	0.039	0.023	0.075	0.056	0.086	0.096
ASV_61	-0.574	11.728	0.132322310354269	0.342309122298138	NotSig	0.165	0.25	0.236	0.312	0.097	0.151	0.101	0.096	0.347	0.208	0.315	0.263	0.157	0.208
ASV_124	0.41	11.344	0.132524973709879	0.342309122298138	NotSig	0.174	0.134	0.166	0.16	0.208	0.174	0.159	0.175	0.15	0.108	0.166	0.112	0.125	0.144
ASV_172	0.662	10.75	0.134488845040142	0.342309122298138	NotSig	0.118	0.076	0.114	0.128	0.208	0.098	0.022	0.135	0.095	0.069	0.108	0.056	0.055	0.072
ASV_3	-0.438	15.367	0.135671298471823	0.342309122298138	NotSig	2.29	3.181	1.825	1.367	2.729	2.203	3.195	2.419	2.569	4.861	2.946	3.31	3.223	2.176
ASV_112	-0.714	10.965	0.147331106704242	0.344383934029389	NotSig	0.086	0.145	0.166	0.12	0.089	0.061	0.043	0.04	0.26	0.077	0.166	0.223	0.055	0.088
ASV_73	-0.714	11.882	0.148357382973867	0.344383934029389	NotSig	0.175	0.297	0.271	0.168	0.112	0.189	0.08	0.231	0.095	0.139	0.29	0.798	0.243	0.216
ASV_152	-0.432	11.108	0.148722109615492	0.344383934029389	NotSig	0.108	0.15	0.131	0.08	0.104	0.083	0.101	0.151	0.118	0.146	0.207	0.136	0.149	0.144
ASV_98	1.042	11.422	0.150943388653763	0.344383934029389	NotSig	0.213	0.109	0.166	0.04	0.074	0.151	0.768	0.08	0.102	0.008	0.1	0.16	0.11	0.176
ASV_109	0.451	11.594	0.150945745888961	0.344383934029389	NotSig	0.212	0.159	0.201	0.144	0.253	0.182	0.261	0.231	0.173	0.169	0.166	0.175	0.188	0.08
ASV_70	0.72	12.044	0.152012542201443	0.344383934029389	NotSig	0.313	0.198	0.148	0.2	0.416	0.197	0.768	0.151	0.173	0.116	0.149	0.191	0.392	0.168
ASV_52	-0.52	12.477	0.152901999883155	0.344383934029389	NotSig	0.288	0.424	0.245	0.328	0.535	0.197	0.159	0.263	0.307	0.624	0.39	0.319	0.345	0.56
ASV_103	1.135	11.505	0.153292848683813	0.344383934029389	NotSig	0.232	0.112	0.07	0.024	0.134	0.159	0.797	0.207	0.008	0.031	0.116	0.096	0.133	0.288
ASV_105	-0.642	11.397	0.155902602223968	0.345513875199063	NotSig	0.125	0.195	0.114	0.072	0.089	0.227	0.08	0.167	0.362	0.3	0.108	0.152	0.133	0.112
ASV_20	-0.953	13.727	0.165460300475408	0.357722385618229	NotSig	0.594	1.14	0.524	1.143	0.186	0.757	0.478	0.478	0.646	0.77	0.257	0.303	4.501	0.36
ASV_89	-0.508	11.53	0.165773788457228	0.357722385618229	NotSig	0.147	0.212	0.183	0.208	0.097	0.129	0.065	0.199	0.087	0.27	0.216	0.231	0.204	0.264
ASV_113	1.448	11.6	0.1690327004119	0.360017699578593	NotSig	0.262	0.099	0.044	0.088	0.015	0.03	1.369	0.024	0.221	0.046	0.066	0.008	0.188	0.064
ASV_15	0.283	13.876	0.177234144601339	0.372646150187431	NotSig	1.051	0.888	0.891	1.199	1.101	0.992	0.978	1.146	0.733	0.662	0.946	1.101	0.91	0.976
ASV_54	0.508	12.822	0.213903328302768	0.444052479008277	NotSig	0.534	0.378	0.358	0.184	0.342	0.954	0.587	0.78	0.441	0.585	0.232	0.359	0.306	0.344
ASV_76	-0.446	11.738	0.227623133853355	0.466627424399378	NotSig	0.174	0.245	0.288	0.2	0.186	0.121	0.123	0.127	0.15	0.223	0.398	0.343	0.125	0.232
ASV_84	-0.39	11.796	0.233988572923517	0.473754641474776	NotSig	0.184	0.249	0.192	0.064	0.208	0.242	0.217	0.183	0.197	0.293	0.241	0.223	0.243	0.296
ASV_42	-0.647	12.853	0.240347657556853	0.477244133795989	NotSig	0.364	0.562	0.358	0.16	0.164	0.621	0.355	0.525	0.583	1.587	0.174	0.359	0.423	0.248
ASV_77	-0.616	11.927	0.241532092104068	0.477244133795989	NotSig	0.185	0.294	0.192	0.112	0.283	0.174	0.181	0.167	0.126	0.493	0.124	0.75	0.118	0.152
ASV_101	0.424	11.285	0.249847125893939	0.487796769602452	NotSig	0.165	0.127	0.157	0.088	0.178	0.159	0.297	0.111	0.102	0.177	0.133	0.128	0.125	0.096
ASV_78	-0.479	11.799	0.256392597797138	0.494686894573301	NotSig	0.179	0.259	0.21	0.176	0.089	0.106	0.326	0.167	0.189	0.1	0.266	0.487	0.29	0.224
ASV_57	-0.294	12.366	0.262165239001855	0.499943013910515	NotSig	0.291	0.369	0.227	0.248	0.29	0.227	0.398	0.358	0.315	0.339	0.415	0.399	0.314	0.432
ASV_14	-0.355	13.935	0.273689626393918	0.515920675041408	NotSig	0.867	1.146	0.585	0.487	0.892	0.924	1.456	0.86	1.095	0.778	1.261	0.774	1.458	1.512
