ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_93	-0.211	11.334	0.810818764800292	0.887018705685259	NotSig	0.137	0.168	0.096	0.032	0.089	0.068	0.449	0.088	0.016	0.054	0.315	0	0.384	0.24
ASV_123	0.152	11.216	0.81662920633982	0.887018705685259	NotSig	0.149	0.137	0.061	0.24	0.067	0.136	0.022	0.366	0.039	0.077	0.29	0.064	0.071	0.28
ASV_29	-0.086	13.017	0.816706247307769	0.887018705685259	NotSig	0.511	0.545	0.576	0.432	0.409	0.795	0.145	0.708	0.67	0.555	0.564	0.471	0.69	0.32
ASV_44	0.069	12.71	0.855697242005115	0.91844216329437	NotSig	0.425	0.419	0.297	0.631	0.535	0.356	0.514	0.215	0.489	0.331	0.39	0.798	0.227	0.28
ASV_27	-0.047	12.968	0.862127765061182	0.91844216329437	NotSig	0.496	0.525	0.524	0.663	0.491	0.31	0.384	0.605	0.528	0.462	0.606	0.55	0.345	0.656
ASV_134	0.061	11.116	0.862656544418943	0.91844216329437	NotSig	0.132	0.128	0.122	0.192	0.067	0.174	0.116	0.119	0.095	0.146	0.091	0.207	0.141	0.088
ASV_155	0.06	10.781	0.870229693690157	0.91844216329437	NotSig	0.101	0.098	0.148	0.08	0.037	0.114	0.109	0.119	0.134	0.077	0.1	0.088	0.125	0.064
ASV_97	-0.051	11.679	0.877630689997983	0.91844216329437	NotSig	0.192	0.206	0.105	0.192	0.134	0.197	0.326	0.199	0.181	0.146	0.257	0.239	0.173	0.24
ASV_121	0.067	11.228	0.879240363641562	0.91844216329437	NotSig	0.144	0.139	0.21	0.104	0.089	0.076	0.109	0.279	0.087	0.169	0.133	0.112	0.259	0.072
ASV_36	-0.06	12.993	0.885860581652741	0.919500856905376	NotSig	0.506	0.526	0.498	0.24	0.223	0.674	0.5	0.899	0.686	0.924	0.398	0.455	0.431	0.264
ASV_110	-0.04	11.36	0.91184419459336	0.937510057623947	NotSig	0.152	0.161	0.087	0.288	0.119	0.182	0.159	0.08	0.15	0.139	0.207	0.12	0.149	0.2
ASV_117	-0.053	11.057	0.914643958657509	0.937510057623947	NotSig	0.12	0.127	0.218	0.056	0.112	0.053	0.116	0.167	0.173	0.162	0.116	0.199	0.024	0.088
ASV_142	-0.046	10.741	0.930855371323568	0.947372912730001	NotSig	0.094	0.1	0.131	0.184	0.119	0.023	0.036	0.072	0.095	0.046	0.158	0.104	0.031	0.168
ASV_153	-0.045	10.863	0.935819584525976	0.947372912730001	NotSig	0.105	0.108	0.087	0.208	0.03	0.159	0.08	0.064	0.189	0.116	0.091	0.191	0.024	0.04
ASV_127	-0.026	11.134	0.960504894870772	0.966397562937464	NotSig	0.126	0.134	0.122	0.056	0.35	0.091	0.051	0.088	0.142	0.139	0.149	0.072	0.078	0.224
ASV_122	0.009	11.221	0.98420868271868	0.98420868271868	NotSig	0.137	0.142	0.035	0.104	0.238	0.114	0.203	0.127	0.087	0.092	0.133	0.096	0.251	0.192
