OTUID	All	KO	OE	WT
ASV_108	0.160807	0.2028150	0.1372756	0.1423290
ASV_117	0.164916	0.1203129	0.2474003	0.1270359
ASV_104	0.163119	0.06032693	0.19590485	0.23312610
ASV_105	0.156828	0.1247721	0.1511092	0.1946037
ASV_195	0.158613	0.1044848	0.1841616	0.1871923
ASV_99	0.15452	0.1877123	0.1441576	0.1316903
ASV_103	0.149832	0.2317559	0.1057587	0.1119816
ASV_118	0.151134	0.1735607	0.1220225	0.1578177
ASV_129	0.154174	0.1227114	0.1816408	0.1581696
ASV_119	0.152831	0.1240957	0.1666977	0.1676986
ASV_115	0.151063	0.1014404	0.1742703	0.1774769
ASV_111	0.149723	0.04759341	0.20881042	0.19276593
ASV_125	0.148157	0.1026954	0.1755625	0.1662124
ASV_107	0.145646	0.1959090	0.1049254	0.1361046
ASV_121	0.148009	0.1442781	0.1611929	0.1385558
ASV_113	0.13647	0.26164575	0.04886124	0.09890249
ASV_126	0.142911	0.1501733	0.1569656	0.1215927
ASV_114	0.149238	0.14968434	0.26756284	0.03046624
ASV_116	0.138322	0.19738888	0.09795357	0.11962379
ASV_122	0.136664	0.1367597	0.1314794	0.1417537
ASV_133	0.136904	0.1668088	0.1107159	0.1331859
ASV_128	0.137626	0.1668302	0.1255159	0.1205305
ASV_124	0.134066	0.17376645	0.09432378	0.13410769
ASV_138	0.127161	0.1079141	0.1294555	0.1441136
ASV_120	0.127225	0.09772714	0.17666581	0.10728081
ASV_127	0.1231	0.1261429	0.1091463	0.1340105
ASV_135	0.123714	0.1356844	0.1085594	0.1268993
ASV_134	0.122898	0.1317354	0.1088410	0.1281184
ASV_123	0.122367	0.14865192	0.08157732	0.13687319
ASV_130	0.123454	0.09571675	0.12956757	0.14507691
ASV_132	0.121486	0.1392699	0.1069443	0.1182446
ASV_156	0.127821	0.07047677	0.27420726	0.03877756
ASV_152	0.119365	0.1084921	0.0995053	0.1500964
ASV_139	0.117485	0.1094494	0.1154964	0.1275085
ASV_161	0.114879	0.1425396	0.1290522	0.0730466
ASV_140	0.110827	0.13880648	0.08610335	0.10757051
ASV_141	0.109835	0.13046857	0.09732721	0.10170930
ASV_143	0.112317	0.08973507	0.11924249	0.12797475
ASV_266	0.114714	0.10082844	0.18076849	0.06254643
ASV_145	0.111276	0.13019187	0.11695286	0.08668232
