#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
10cd721d4ff7dc064930c1264a97121d	15.0	0.0	0.0	0.0	0.0	0.0	27.0	14.0	0.0	26.0	11.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0
cc4773154cb5efc7368c141099b306db	0.0	0.0	41.0	20.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0
3a19a737a80b01c7ff2d687c08bdab90	7.0	9.0	0.0	0.0	23.0	20.0	0.0	0.0	0.0	18.0	9.0	0.0	0.0	20.0	12.0	0.0	13.0	0.0
7f3d7197a5e1d20c3e51add1f4a08556	22.0	1.0	0.0	18.0	0.0	17.0	1.0	0.0	2.0	32.0	27.0	1.0	0.0	3.0	0.0	0.0	2.0	1.0
6cbd51362c56a15f9b34fc1bbec49b76	0.0	0.0	29.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0
d29ebc2c841320e71f9c89048fae8fac	0.0	35.0	25.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0
9cba0a5ae153c5066f530e2d7d7505cf	0.0	0.0	29.0	0.0	0.0	0.0	25.0	15.0	19.0	17.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0
a95f576ed19ae81e0f40928a92d9972e	0.0	0.0	0.0	28.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	25.0
9fe3938ddff4f2d17b46251126aa07c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	57.0	0.0
b6b75dcd9aadb0370c897cee9dcc7416	40.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e54febc2417418b044061e0a463b949b	0.0	0.0	30.0	0.0	20.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0
