feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ko02010	Group	WT	-0.00293668930604262	0.00136790372505472	12	12	0.0573681176473289	0.149157105883055
ko05200	Group	WT	-0.000834501859251791	0.000393180118919269	12	12	0.0597773687640368	0.153882335432174
ko00471	Group	WT	0.000383902739026366	0.000181940387981757	12	12	0.0610373646720975	0.155585439360248
ko00010	Group	WT	0.00139278625803755	0.000679259470270725	12	12	0.0674576865860458	0.16958133756079
ko03050	Group	WT	0.00236398861904269	0.00115477776503123	12	12	0.0678325350243159	0.16958133756079
ko04144	Group	WT	-0.00030924303606963	0.000152871762440896	12	12	0.0706383940811907	0.174914118677234
ko05010	Group	WT	-0.00172956166657001	0.000863333926741395	12	12	0.072979203120216	0.17900559255902
ko00480	Group	WT	-0.00207989368875543	0.00106428599504736	12	12	0.0791866130246945	0.190836502094128
ko00020	Group	WT	0.00119702708119369	0.000612721525066198	12	12	0.0792705470237147	0.190836502094128
ko00410	Group	WT	0.000850145183616314	0.000440719146720588	12	12	0.0825715373459653	0.196959630366523
ko03070	Group	WT	-0.00351685980194906	0.00183749598563581	12	12	0.0846521040967722	0.199196136843998
ko00622	Group	WT	0.00171401031008062	0.000899398455244518	12	12	0.0858075666404916	0.199196136843998
ko00660	Group	WT	-0.000404073401777192	0.000211827770673765	12	12	0.0855492785776803	0.199196136843998
ko04260	Group	WT	-0.00158471002702471	0.000840124533089744	12	12	0.0886031443767905	0.201192944271916
ko00330	Group	WT	0.000696101615822816	0.000369551485377727	12	12	0.0889891868895015	0.201192944271916
ko00473	Group	WT	0.000364363445775884	0.000192873021483237	12	12	0.0881873299226777	0.201192944271916
ko03420	Group	WT	0.000804906153580226	0.000433366560526925	12	12	0.0929207604202808	0.208270669907526
ko00061	Group	WT	0.000837365639499537	0.000453840652258566	12	12	0.0948087809733618	0.210686179940804
ko04974	Group	WT	0.000434980986371719	0.000238499863653011	12	12	0.0981623166758681	0.21628985030276
ko00380	Group	WT	0.000910763975236271	0.000508541666434697	12	12	0.103569757341138	0.222546586022279
ko03018	Group	WT	0.000614882811536633	0.000341382853224842	12	12	0.101860712106971	0.222546586022279
ko00232	Group	WT	0.000713976334739247	0.000398399846632174	12	12	0.103371588340842	0.222546586022279
ko03450	Group	WT	-0.000680854101638881	0.000390281398942983	12	12	0.111665884005111	0.237976474109252
ko04964	Group	WT	0.000338250777940758	0.000196030007072845	12	12	0.115146483165072	0.243399070105031
ko00440	Group	WT	-0.000731786558446391	0.000426161262710216	12	12	0.116705030799343	0.244704096837332
