"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"bac_ASV_535",21.6263503077448,-23.2079155901443,"bac_ASV_535","bac","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Gp16","Unassigned","bac",1,0.114519427402863,0,1
"bac_ASV_536",-9.0937722561097,35.0760252320784,"bac_ASV_536","bac","Bacteria","Firmicutes","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_54",-34.3341154515614,-18.6198200587169,"bac_ASV_54","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_540",-7.05074617429627,-11.7432121567082,"bac_ASV_540","bac","Bacteria","Bacteroidetes","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",1,0.146724890829694,0,1
"bac_ASV_542",-7.95868396621161,1.19134719267863,"bac_ASV_542","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Candidatus_Solibacter","Unassigned","bac",5,0.221343873517787,3180.55721098389,5
"bac_ASV_546",9.66993216879298,7.58142235468743,"bac_ASV_546","bac","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","bac",2,0.172661870503597,335,2
"bac_ASV_547",-11.4036495044598,-36.6342969815651,"bac_ASV_547","bac","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_incertae_sedis","Caldalkalibacillus","Caldalkalibacillus_thermarum","bac",0,0,0,0
"bac_ASV_55",18.4286286686213,-29.0958543350319,"bac_ASV_55","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","Phenylobacterium_muchangponense","bac",1,0.315789473684211,0,1
"bac_ASV_555",37.0546621547042,-12.0554012427284,"bac_ASV_555","bac","Bacteria","Armatimonadetes","Unassigned","Unassigned","Unassigned","Armatimonadetes_gp5","Unassigned","bac",0,0,0,0
"bac_ASV_556",-5.2035532606003,42.9364227875645,"bac_ASV_556","bac","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","bac",0,0,0,0
