"igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
3,0.168505516549649,414.843835893344,3
2,0.153424657534247,668,2
2,0.17740232312566,13.3368551978027,2
1,0.165191740412979,0,1
1,0.158640226628895,0,1
4,0.167164179104478,525.270411032074,4
4,0.157303370786517,1697.16240964312,4
1,1,0,1
4,0.222811671087533,121.118656186229,4
1,0.6,0,1
1,0.197414806110458,0,1
7,0.23728813559322,790.57626159435,7
1,0.210526315789474,0,1
1,0.15954415954416,0,1
6,0.21105527638191,574.915291796134,6
2,0.198581560283688,11.2718324457408,2
8,0.229822161422709,1017.57993061681,8
6,0.23463687150838,1243.49273959224,6
2,0.206388206388206,9.31743162791816,2
3,0.201680672268908,555.36922501102,3
4,0.222811671087533,1261.23378173834,4
3,0.160152526215443,815.349488808898,3
4,0.157303370786517,550.280062625926,4
8,0.19047619047619,4381.01017021815,8
2,0.214833759590793,397.984112240881,2
1,0.170731707317073,0,1
3,0.157156220767072,215.280062625926,3
8,0.247787610619469,1520.47633524037,8
3,0.23013698630137,2944.29175036946,3
2,0.15819209039548,1.39298245614035,2
5,0.206896551724138,705.915127531139,5
