"ID","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","Label"
"bac_ASV_445","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Altererythrobacter","Unassigned","bac","bac_ASV_445"
"bac_ASV_447","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Niastella","Niastella_populi","bac","bac_ASV_447"
"bac_ASV_45","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_45"
"bac_ASV_451","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_451"
"bac_ASV_454","bac","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","bac","bac_ASV_454"
"bac_ASV_455","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_455"
"bac_ASV_456","bac","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azonexus","Azonexus_caeni","bac","bac_ASV_456"
"bac_ASV_459","bac","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Gp4","Unassigned","bac","bac_ASV_459"
"bac_ASV_46","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Unassigned","bac","bac_ASV_46"
"bac_ASV_460","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_incertae_sedis","Unassigned","Rhizomicrobium","Unassigned","bac","bac_ASV_460"
"bac_ASV_462","bac","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca","bac","bac_ASV_462"
"bac_ASV_466","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas","Terrimonas_lutea","bac","bac_ASV_466"
"bac_ASV_468","bac","Bacteria","Acidobacteria","Acidobacteria_Gp17","Unassigned","Unassigned","Gp17","Unassigned","bac","bac_ASV_468"
"bac_ASV_47","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_47"
"bac_ASV_471","bac","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Thermogutta","Thermogutta_terrifontis","bac","bac_ASV_471"
"bac_ASV_472","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_472"
"bac_ASV_473","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_473"
"bac_ASV_474","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas","Terrimonas_lutea","bac","bac_ASV_474"
"bac_ASV_476","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","Unassigned","bac","bac_ASV_476"
"bac_ASV_477","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_477"
"bac_ASV_48","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Unassigned","Unassigned","bac","bac_ASV_48"
"bac_ASV_484","bac","Bacteria","Verrucomicrobia","Subdivision3","Unassigned","Unassigned","Subdivision3_genera_incertae_sedis","Unassigned","bac","bac_ASV_484"
"bac_ASV_488","bac","Bacteria","Acidobacteria","Acidobacteria_Gp2","Unassigned","Unassigned","Gp2","Unassigned","bac","bac_ASV_488"
"bac_ASV_489","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","Unassigned","bac","bac_ASV_489"
"bac_ASV_49","bac","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus","Bacillus_vireti","bac","bac_ASV_49"
"bac_ASV_492","bac","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Gp16","Unassigned","bac","bac_ASV_492"
"bac_ASV_493","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac","bac_ASV_493"
"bac_ASV_494","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_incertae_sedis","Unassigned","Rhizomicrobium","Rhizomicrobium_palustre","bac","bac_ASV_494"
"bac_ASV_495","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_495"
"bac_ASV_497","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac","bac_ASV_497"
"bac_ASV_498","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas","Terrimonas_arctica","bac","bac_ASV_498"
