"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_398",9,1,0,9
"ASV_695",9,1,0,9
"ASV_330",9,1,0,9
"ASV_1963",9,1,0,9
"ASV_393",9,1,0,9
"ASV_634",9,1,0,9
"ASV_481",9,1,0,9
"ASV_304",7,1,0,7
"ASV_488",7,1,0,7
"ASV_587",7,1,0,7
"ASV_379",7,1,0,7
"ASV_954",7,1,0,7
"ASV_1200",7,1,0,7
"ASV_198",7,1,0,7
"ASV_191",2,1,0,2
"ASV_2209",2,1,0,2
"ASV_1722",15,1,0,15
"ASV_144",15,1,0,15
"ASV_738",15,1,0,15
"ASV_409",15,1,0,15
"ASV_125",15,1,0,15
"ASV_1327",15,1,0,15
"ASV_390",15,1,0,15
"ASV_130",15,1,0,15
"ASV_575",15,1,0,15
"ASV_291",15,1,0,15
"ASV_295",15,1,0,15
"ASV_1830",15,1,0,15
"ASV_1773",15,1,0,15
"ASV_1729",15,1,0,15
"ASV_620",15,1,0,15
"ASV_1361",1,1,0,1
"ASV_1043",1,1,0,1
"ASV_1048",2,1,0,2
"ASV_680",2,1,0,2
"ASV_832",2,1,0,2
"ASV_733",2,1,0,2
"ASV_930",1,1,0,1
"ASV_471",1,1,0,1
"ASV_171",9,1,0,9
"ASV_1615",9,1,0,9
"ASV_638",9,1,0,9
"ASV_420",9,1,0,9
"ASV_1187",9,1,0,9
"ASV_235",9,1,0,9
"ASV_719",9,1,0,9
"ASV_718",9,1,0,9
"ASV_891",9,1,0,9
"ASV_237",4,1,0,4
"ASV_3149",4,1,0,4
"ASV_627",4,1,0,4
"ASV_1705",4,1,0,4
"ASV_328",3,1,0,3
"ASV_721",3,1,0,3
"ASV_806",3,1,0,3
"ASV_498",7,1,0,7
"ASV_262",7,1,0,7
"ASV_585",7,1,0,7
"ASV_231",7,1,0,7
"ASV_3796",7,1,0,7
"ASV_814",7,1,0,7
"ASV_908",7,1,0,7
"ASV_822",3,1,0,3
"ASV_486",3,1,0,3
"ASV_1176",3,1,0,3
"ASV_296",1,1,0,1
"ASV_76",6,1,0,6
"ASV_280",6,1,0,6
"ASV_1519",6,1,0,6
"ASV_1393",6,1,0,6
"ASV_90",6,1,0,6
"ASV_689",6,1,0,6
"ASV_563",3,1,0,3
"ASV_308",3,1,0,3
"ASV_1492",3,1,0,3
"ASV_953",3,1,0,3
"ASV_2890",3,1,0,3
"ASV_937",3,1,0,3
"ASV_163",3,1,0,3
"ASV_3143",3,1,0,3
"ASV_938",3,1,0,3
"ASV_532",1,1,0,1
"ASV_351",5,1,0,5
"ASV_622",5,1,0,5
"ASV_795",5,1,0,5
"ASV_178",5,1,0,5
"ASV_862",5,1,0,5
"ASV_324",2,1,0,2
"ASV_325",2,1,0,2
"ASV_942",1,1,0,1
"ASV_1057",9,1,0,9
"ASV_700",9,1,0,9
"ASV_6801",9,1,0,9
"ASV_1636",9,1,0,9
"ASV_3356",9,1,0,9
"ASV_3757",9,1,0,9
"ASV_2316",9,1,0,9
"ASV_2058",9,1,0,9
"ASV_2403",9,1,0,9
"ASV_3126",3,1,0,3
"ASV_3000",3,1,0,3
"ASV_4221",3,1,0,3
"ASV_373",7,1,0,7
"ASV_249",7,1,0,7
"ASV_277",7,1,0,7
"ASV_688",7,1,0,7
"ASV_1854",7,1,0,7
"ASV_972",7,1,0,7
"ASV_777",7,1,0,7
"ASV_550",2,1,0,2
"ASV_3699",2,1,0,2
"ASV_1250",3,1,0,3
"ASV_664",3,1,0,3
"ASV_1762",3,1,0,3
"ASV_251",1,1,0,1
"ASV_401",1,1,0,1
"ASV_1372",1,1,0,1
"ASV_190",2,1,0,2
"ASV_641",2,1,0,2
"ASV_1116",3,1,0,3
"ASV_3990",3,1,0,3
"ASV_2971",3,1,0,3
"ASV_810",1,1,0,1
"ASV_283",4,1,0,4
"ASV_2907",4,1,0,4
"ASV_1460",4,1,0,4
"ASV_607",4,1,0,4
"ASV_685",5,1,0,5
"ASV_1576",5,1,0,5
"ASV_366",5,1,0,5
"ASV_744",5,1,0,5
"ASV_1328",5,1,0,5
"ASV_514",1,1,0,1
"ASV_1068",1,1,0,1
"ASV_2307",2,1,0,2
"ASV_2220",2,1,0,2
"ASV_1167",3,1,0,3
"ASV_1833",3,1,0,3
"ASV_468",3,1,0,3
"ASV_625",4,1,0,4
"ASV_1094",4,1,0,4
"ASV_546",4,1,0,4
"ASV_1402",4,1,0,4
"ASV_4739",3,1,0,3
"ASV_7817",3,1,0,3
"ASV_7711",3,1,0,3
"ASV_1466",2,1,0,2
"ASV_2225",2,1,0,2
"ASV_404",3,1,0,3
"ASV_374",3,1,0,3
"ASV_512",3,1,0,3
"ASV_707",1,1,0,1
"ASV_609",1,1,0,1
"ASV_209",1,1,0,1
"ASV_660",1,1,0,1
"ASV_1069",2,1,0,2
"ASV_1223",2,1,0,2
"ASV_2232",1,1,0,1
"ASV_1535",8,1,0,8
"ASV_6715",8,1,0,8
"ASV_3464",8,1,0,8
"ASV_4776",8,1,0,8
"ASV_2550",8,1,0,8
"ASV_6758",8,1,0,8
"ASV_8377",8,1,0,8
"ASV_6405",8,1,0,8
"ASV_1498",2,1,0,2
"ASV_1124",2,1,0,2
"ASV_2693",2,1,0,2
"ASV_2667",2,1,0,2
"ASV_1138",5,1,0,5
"ASV_1076",5,1,0,5
"ASV_2312",5,1,0,5
"ASV_813",5,1,0,5
"ASV_1434",5,1,0,5
"ASV_1996",3,1,0,3
"ASV_1496",3,1,0,3
"ASV_120",3,1,0,3
"ASV_715",3,1,0,3
"ASV_427",3,1,0,3
"ASV_1191",3,1,0,3
"ASV_394",3,1,0,3
"ASV_213",3,1,0,3
"ASV_103",3,1,0,3
"ASV_781",3,1,0,3
"ASV_950",3,1,0,3
"ASV_973",3,1,0,3
"ASV_4867",9,1,0,9
"ASV_1517",9,1,0,9
"ASV_1331",9,1,0,9
"ASV_2529",9,1,0,9
"ASV_6232",9,1,0,9
"ASV_6465",9,1,0,9
"ASV_4919",9,1,0,9
"ASV_4925",9,1,0,9
"ASV_1949",9,1,0,9
"ASV_632",1,1,0,1
"ASV_383",2,1,0,2
"ASV_7049",2,1,0,2
"ASV_3158",3,1,0,3
"ASV_478",3,1,0,3
"ASV_1397",3,1,0,3
"ASV_1054",1,1,0,1
"ASV_490",3,1,0,3
"ASV_1499",3,1,0,3
"ASV_1169",3,1,0,3
"ASV_261",1,1,0,1
"ASV_1936",4,1,0,4
"ASV_320",4,1,0,4
"ASV_1799",4,1,0,4
"ASV_797",4,1,0,4
"ASV_857",1,1,0,1
"ASV_161",1,1,0,1
"ASV_502",2,1,0,2
"ASV_445",2,1,0,2
"ASV_287",1,1,0,1
"ASV_652",3,1,0,3
"ASV_84",3,1,0,3
"ASV_1126",3,1,0,3
"ASV_589",1,1,0,1
"ASV_1119",2,1,0,2
"ASV_1205",2,1,0,2
"ASV_631",1,1,0,1
"ASV_432",3,1,0,3
"ASV_1129",3,1,0,3
"ASV_1554",3,1,0,3
"ASV_618",1,1,0,1
"ASV_7046",4,1,0,4
"ASV_2184",4,1,0,4
"ASV_4573",4,1,0,4
"ASV_2412",4,1,0,4
"ASV_1346",1,1,0,1
"ASV_1307",1,1,0,1
"ASV_1014",1,1,0,1
"ASV_5020",2,1,0,2
"ASV_3704",2,1,0,2
"ASV_2060",1,1,0,1
"ASV_1070",1,1,0,1
"ASV_1532",2,1,0,2
"ASV_5654",2,1,0,2
"ASV_8001",2,1,0,2
"ASV_6361",2,1,0,2
"ASV_825",1,1,0,1
"ASV_565",2,1,0,2
"ASV_604",2,1,0,2
"ASV_925",1,1,0,1
"ASV_753",2,1,0,2
"ASV_593",2,1,0,2
"ASV_1045",2,1,0,2
"ASV_4888",2,1,0,2
"ASV_1171",1,1,0,1
"ASV_913",2,1,0,2
"ASV_435",2,1,0,2
"ASV_746",2,1,0,2
"ASV_1343",2,1,0,2
"ASV_3048",1,1,0,1
"ASV_167",1,1,0,1
"ASV_868",1,1,0,1
"ASV_467",1,1,0,1
"ASV_755",1,1,0,1
"ASV_768",1,1,0,1
"ASV_1947",2,1,0,2
"ASV_436",2,1,0,2
"ASV_4186",1,1,0,1
"ASV_3354",1,1,0,1
"ASV_1826",1,1,0,1
"ASV_989",1,1,0,1
"ASV_3282",1,1,0,1
"ASV_1403",1,1,0,1
"ASV_828",1,1,0,1
"ASV_2047",1,1,0,1
"ASV_1",10,1,0,10
"ASV_66",1,1,0,1
"ASV_29",6,1,0,6
"ASV_53",4,1,0,4
"ASV_7",35,1,0,35
"ASV_3",5,1,0,5
"ASV_2",2,1,0,2
"ASV_52",2,1,0,2
"ASV_5",10,1,0,10
"ASV_268",3,1,0,3
"ASV_11",3,1,0,3
"ASV_35",40,1,0,40
"ASV_60",5,1,0,5
"ASV_22",28,1,0,28
"ASV_20",1,1,0,1
"ASV_134",17,1,0,17
"ASV_51",1,1,0,1
"ASV_127",19,1,0,19
"ASV_41",1,1,0,1
"ASV_18",9,1,0,9
"ASV_253",1,1,0,1
"ASV_214",31,1,0,31
"ASV_9",14,1,0,14
"ASV_623",9,1,0,9
"ASV_400",6,1,0,6
"ASV_67",9,1,0,9
"ASV_32",4,1,0,4
"ASV_312",3,1,0,3
"ASV_386",5,1,0,5
"ASV_55",7,1,0,7
"ASV_61",3,1,0,3
"ASV_255",11,1,0,11
"ASV_93",19,1,0,19
"ASV_4",8,1,0,8
"ASV_49",9,1,0,9
"ASV_111",8,1,0,8
"ASV_36",1,1,0,1
"ASV_21",3,1,0,3
"ASV_196",12,1,0,12
"ASV_40",7,1,0,7
"ASV_492",2,1,0,2
"ASV_79",1,1,0,1
"ASV_96",5,1,0,5
"ASV_48",1,1,0,1
"ASV_298",13,1,0,13
"ASV_359",4,1,0,4
"ASV_86",3,1,0,3
"ASV_82",2,1,0,2
"ASV_38",6,1,0,6
"ASV_155",2,1,0,2
"ASV_138",3,1,0,3
"ASV_180",3,1,0,3
"ASV_12",8,1,0,8
"ASV_153",15,1,0,15
"ASV_101",3,1,0,3
"ASV_114",9,1,0,9
"ASV_109",7,1,0,7
"ASV_62",2,1,0,2
"ASV_75",15,1,0,15
"ASV_542",1,1,0,1
"ASV_124",1,1,0,1
"ASV_226",2,1,0,2
"ASV_157",2,1,0,2
"ASV_192",1,1,0,1
"ASV_423",1,1,0,1
"ASV_462",9,1,0,9
"ASV_16",4,1,0,4
"ASV_245",3,1,0,3
"ASV_450",7,1,0,7
"ASV_376",3,1,0,3
"ASV_310",1,1,0,1
"ASV_78",6,1,0,6
"ASV_678",3,1,0,3
"ASV_1301",3,1,0,3
"ASV_87",3,1,0,3
"ASV_672",1,1,0,1
"ASV_145",5,1,0,5
"ASV_222",2,1,0,2
"ASV_346",1,1,0,1
"ASV_691",9,1,0,9
"ASV_1227",3,1,0,3
"ASV_381",7,1,0,7
"ASV_168",2,1,0,2
"ASV_389",3,1,0,3
"ASV_302",1,1,0,1
"ASV_1078",1,1,0,1
"ASV_472",1,1,0,1
"ASV_484",2,1,0,2
"ASV_2593",3,1,0,3
"ASV_164",1,1,0,1
"ASV_596",4,1,0,4
"ASV_388",5,1,0,5
"ASV_14",1,1,0,1
"ASV_363",1,1,0,1
"ASV_97",2,1,0,2
"ASV_665",3,1,0,3
"ASV_1715",4,1,0,4
"ASV_758",3,1,0,3
"ASV_352",2,1,0,2
"ASV_133",3,1,0,3
"ASV_58",1,1,0,1
"ASV_547",1,1,0,1
"ASV_151",1,1,0,1
"ASV_449",1,1,0,1
"ASV_248",2,1,0,2
"ASV_2409",1,1,0,1
"ASV_4269",8,1,0,8
"ASV_378",2,1,0,2
"ASV_3523",2,1,0,2
"ASV_228",5,1,0,5
"ASV_558",3,1,0,3
"ASV_200",3,1,0,3
"ASV_143",3,1,0,3
"ASV_121",3,1,0,3
"ASV_1274",9,1,0,9
"ASV_643",1,1,0,1
"ASV_2206",2,1,0,2
"ASV_297",3,1,0,3
"ASV_693",1,1,0,1
"ASV_129",3,1,0,3
"ASV_1234",1,1,0,1
"ASV_206",4,1,0,4
"ASV_140",1,1,0,1
"ASV_650",1,1,0,1
"ASV_300",2,1,0,2
"ASV_177",1,1,0,1
"ASV_316",3,1,0,3
"ASV_288",1,1,0,1
"ASV_723",2,1,0,2
"ASV_207",1,1,0,1
"ASV_446",3,1,0,3
"ASV_474",1,1,0,1
"ASV_2387",4,1,0,4
"ASV_1999",1,1,0,1
"ASV_497",1,1,0,1
"ASV_982",1,1,0,1
"ASV_2804",2,1,0,2
"ASV_349",1,1,0,1
"ASV_2418",1,1,0,1
"ASV_350",2,1,0,2
"ASV_4687",2,1,0,2
"ASV_242",1,1,0,1
"ASV_1056",2,1,0,2
"ASV_236",1,1,0,1
"ASV_808",2,1,0,2
"ASV_990",2,1,0,2
"ASV_1075",1,1,0,1
"ASV_119",2,1,0,2
"ASV_461",2,1,0,2
"ASV_1077",1,1,0,1
"ASV_414",1,1,0,1
"ASV_415",1,1,0,1
"ASV_1041",1,1,0,1
"ASV_1005",1,1,0,1
"ASV_274",1,1,0,1
"ASV_3636",2,1,0,2
"ASV_855",1,1,0,1
"ASV_7601",1,1,0,1
"ASV_1475",1,1,0,1
"ASV_819",1,1,0,1
"ASV_5770",1,1,0,1
"ASV_669",1,1,0,1
"ASV_438",1,1,0,1
"ASV_976",1,1,0,1
