Class	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Firmicutes|Clostridia	0	0.415567809478143	0.0297486241261342	0.0151400454201363	0.0144896037093386	0.00795861520095503	0.0520878548485112	0.00878889084197574	0.0849473326537547	0.00853460783476999	0.0165234633179114	0.0720980533525595	0	0.0154059466954244	0	0.00797575370872547	0.00784129224496197	0.17601408112649
Bacteria|Nitrospirae|Nitrospira	0.0436681222707424	0.0479501318628626	0.0223114680946006	0.0529901589704769	0.0217344055640078	0.0477516912057302	0.0868130914141853	0.0527333450518545	0.0764525993883792	0.0597422548433899	0.0908790482485129	0.135183850036049	0.0709219858156028	0.06932676012941	0.0746764022568868	0.303078640931568	0.101936799184506	0.152012160972878
Bacteria|Planctomycetes|Planctomycetacia	0.0174672489082969	0.159833772876209	0.081808716346869	0.0227100681302044	0	0.0397930760047752	0.373296293080997	0.553700123044472	0.237852531430513	0.0938806861824699	0.181758096497026	0.333453496755588	0.141843971631206	0.123247573563395	0.16594756057086	0.119636305630882	0.0862542146945817	0.0480038403072246
Bacteria|Proteobacteria|Alphaproteobacteria	16	15.2001918005275	20.4373047746542	18.0166540499621	20.2564659856553	19.1006764822921	17.0848163903117	14.5631921251538	10.7798165137615	13.1859691047196	16.606080634501	16.2130497476568	11.2765957446809	12.848559543984	13.4832392963823	14.1968416015313	14.1221673331765	14.3291463317065
Bacteria|Proteobacteria|Betaproteobacteria	33.9213973799127	22.3287780708064	28.8487282463186	32.2634367903104	42.3458668405419	35.3123756466375	21.1129438319299	17.9732817718404	26.0023785253143	26.7389263463344	25.1074025115664	22.0800288392213	27.3916469661151	34.6479741180096	26.3109857285098	27.2132716541713	28.6207166941112	26.1620929674374
Bacteria|Proteobacteria|Deltaproteobacteria	0.986899563318777	0.767202109805802	0.639595418711885	0.764572293716881	0.709990581757589	0.612813370473538	1.1719767340915	0.685533485674108	0.857968059802922	0.861995391311769	0.900528750826173	1.11751982696467	0.646178092986604	0.739485441380373	0.871224692997013	0.829478385707449	0.737081471026425	0.80006400512041
Bacteria|Proteobacteria|Gammaproteobacteria	6.16593886462882	5.01878046831295	5.18369775397888	5.5336866010598	5.76686227631674	6.1599681655392	7.97812310096363	7.20689049042011	6.58341828066599	7.44217803191943	8.03866490416391	8.60670511896179	5.05122143420016	5.79263595747959	7.16893461666114	6.86712394321263	6.3514467184192	7.70461636930954
Bacteria|Proteobacteria|Oligoflexia	0.0786026200873362	0.127867018300967	0.282611929198275	0.166540499621499	0.528870535390857	0.222841225626741	0.156263564545533	0.184566707681491	0.127420998980632	0.30724588205172	0.214805023132849	0.0720980533525595	0.220646178092987	0.546911107687567	0.132758048456688	0.167490827883235	0.290127813063593	0.0880070405632451
Bacteria|Proteobacteria|Unassigned	1.7117903930131	1.35059538080396	1.46511973821211	0.953822861468584	0.869376222560313	1.10624751293275	2.55230488757705	1.67867815081737	1.55453618756371	1.55329862592814	2.04064771976206	2.46034607065609	1.17415287628054	1.21706978893853	2.13242615333555	1.81847184558941	1.47416294205285	2.19217537402992
Bacteria|Spirochaetes|Spirochaetia	0.0436681222707424	0.0159833772876209	0.0520600922207348	0.0681302043906132	0.0869376222560313	0.0716275368085953	0.0781317822727667	0.0615222358938302	0.0934420659191302	0.13655372535632	0.11566424322538	0.0540735400144196	0.0394011032308905	0.0847327068248344	0.0746764022568868	0.111660551922157	0.0470477534697718	0.13601088087047
Bacteria|Unassigned|Unassigned	9.54585152838428	10.245344841365	5.88279042094303	7.42619227857684	6.22328479316091	9.28770393951453	10.6346036982377	10.6345579187906	8.32483860006796	9.93428351967227	9.58360872438863	10.7245854361932	11.4814814814815	7.38715144045602	10.4629936939927	8.06348699952146	7.99811808986121	9.49675974077926
Bacteria|Verrucomicrobia|Opitutae	0.00873362445414847	0.00799168864381044	0.0148743120630671	0.0151400454201363	0.0217344055640078	0.0238758456028651	0.0260439274242556	0.0263666725259272	0.0934420659191301	0.0768114705129299	0.140449438202247	0.216294160057678	0.118203309692671	0.0770297334771222	0.132758048456688	0.0717817833785293	0.0548890457147338	0.0480038403072246
Bacteria|Verrucomicrobia|Subdivision3	0.0611353711790393	0.0239750659314313	0.0371857801576677	0.00757002271006813	0.0144896037093386	0.0397930760047752	0.0347252365656741	0.035155563367903	0.0594631328576283	0.05120764700862	0.0660938532716457	0.0360490266762797	0.0236406619385343	0.0154059466954244	0.0663790242283438	0.0319030148349019	0.00784129224496197	0.0320025602048164
Bacteria|Verrucomicrobia|Unassigned	0.0262008733624454	0.00799168864381044	0.0223114680946006	0	0.0144896037093386	0.0159172304019101	0.112857018838441	0.0263666725259272	0.0594631328576283	0.00853460783476999	0.0413086582947786	0.0720980533525595	0.0315208825847124	0.0154059466954244	0.0248921340856289	0.0638060296698038	0.0156825844899239	0.0240019201536123
Bacteria|Verrucomicrobia|Verrucomicrobiae	0	0	0.0223114680946006	0	0.00724480185466928	0.00795861520095503	0.0173626182828371	0.0175777816839515	0.0594631328576283	0.00853460783476999	0.0660938532716457	0.0630857966834895	0.0236406619385343	0.0462178400862733	0.00829737802854298	0.0239272611261764	0.0235238767348859	0.0080006400512041
