Species	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|Unassigned	1.47598253275109	2.06185567010309	2.31295552580693	1.81680545041635	1.68803883213794	2.06923995224831	1.38900946262696	2.43452276322728	1.61399932042134	1.31432960655458	2.07369464639789	1.60418168709445	1.48148148148148	1.23247573563395	2.02456023896449	1.67490827883235	1.65451266368698	1.70413633090647
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Unassigned|Unassigned	0.0611353711790393	0.167825461520019	0.081808716346869	0.0378501135503407	0.0289792074186771	0.0875447672105054	0.130219637121278	0.184566707681491	0.0764525993883792	0.05120764700862	0.140449438202247	0.0811103100216294	0.0788022064617809	0.00770297334771222	0.0829737802854298	0.0638060296698038	0.101936799184506	0.0640051204096328
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Unassigned|Unassigned	0.0524017467248908	0.0239750659314313	0	0.0227100681302044	0	0.0318344608038201	0.0520878548485112	0.0175777816839515	0.0169894665307509	0.01706921566954	0	0.00901225666906993	0.00788022064617809	0.0154059466954244	0.0248921340856289	0	0	0.0160012801024082
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Unassigned|Unassigned|Unassigned	0.122270742358079	0.159833772876209	0.312360553324409	0.0908402725208176	0.115916829674708	0.135296458416236	0.0868130914141853	0.184566707681491	0.169894665307509	0.14508833319109	0.107402511566424	0.108147080028839	0.0551615445232467	0.0924356801725466	0.132758048456688	0.127612059339608	0.0627303379596958	0.120009600768061
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Actinophytocola|Unassigned	0.0524017467248908	0	0	0	0	0.246717071229606	0.0260439274242556	0.035155563367903	0	0	0.0330469266358229	0.171232876712329	0.0157604412923562	0	0.016594756057086	0.207369596426862	0	0.0080006400512041
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Amycolatopsis|Unassigned	0.899563318777293	2.78909933668984	1.41305964599137	1.08251324753974	1.03600666521771	1.32908873855949	0.607691639899297	0.878889084197574	0.373768263676521	1.03268754800717	0.908790482485129	0.585796683489546	1.30811662726556	1.39423817593591	0.846332558911384	1.76264156962833	4.95569669881596	0.784062725018001
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Lentzea|Unassigned	2.17467248908297	4.17965316071286	2.14190093708166	1.61241483724451	1.64457002100993	2.2124950258655	1.97933848424342	1.91597820355071	1.60550458715596	2.1336519586925	2.91639127561137	2.02775775054074	2.9866036249015	2.55738715144046	3.13640889478925	2.39272611261764	2.41511801144829	2.17617409392751
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Pseudonocardia|Unassigned	0.148471615720524	0.167825461520019	0.349546333482076	0.12112036336109	0.108672027820039	0.191006764822921	0.190988801111208	0.175777816839515	0.178389398572885	0.0768114705129299	0.156972901520159	0.252343186733958	0.228526398739165	0.100138653520259	0.0995685363425158	0.24724836497049	0.180349721634125	0.192015361228898
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Saccharothrix|Unassigned	0.0524017467248908	0.00799168864381044	0.0594972482522683	0	0.00724480185466928	0	0	0.0966777992617332	0	0	0	0.0360490266762797	0	0	0.0497842681712579	0.00797575370872547	0	0.0080006400512041
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Unassigned|Unassigned	1.77292576419214	2.77311595940222	1.45768258218057	5.38228614685844	2.20966456567413	0.891364902506964	1.7796683739908	2.43452276322728	1.92830445124023	1.66424852778015	1.85888962326504	1.82047584715213	3.75886524822695	1.27099060237252	2.13242615333555	2.1295262402297	0.815494393476045	3.36026882150572
